Series Name,Series Code,Country Name,Country Code,1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1982 [YR1982],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,India,IND,8.30747009171161,2.52304875695182,6.27568336762332,11.3460734795094,7.89074279377497,8.97123250273277,13.8702461773683,11.7878170418134,6.32689048779864,10.2479355556121,10.2248861637546,8.9771523382646,7.16425211462713,13.2308389767976,4.66982038037594,4.0094359104519,3.77929312235634,4.29715203929573,3.80585899528851,3.76725173477509,4.24634362031933,5.79652337561618,6.3728813559324,8.34926704907572,10.8823529411766,11.9893899204244,8.9117933648337,9.47899691419792,10.0178784746106,6.66565671867867,4.90697344127221,4.9482163406217,3.32817337461305,3.93882646691605,3.72950573539131,6.62343677628578,5.13140747176368,6.6990341407983,..
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,China,CHN,..,..,..,..,..,3.05229012075233,3.55668565220452,6.35398134024869,14.6100786356602,24.2569897243361,16.7912251650916,8.31316028893909,2.78646505531882,-0.773186011549318,-1.40147268276465,0.347811226864587,0.719125609120114,-0.731970902350244,1.12760348729637,3.82463743108159,1.77641407667571,1.6494309945586,4.81676767378834,5.92525137041092,-0.728165250932898,3.17532475269199,5.55389892257493,2.61952432645541,2.62105001748115,1.92164162788521,1.43702380935655,2.00000182191943,1.59313600071436,2.07479039965576,2.89923416358227,2.41942189457782,0.981015135544882,1.97357555739051,..
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,World,WLD,..,..,..,..,10.2217271376892,8.06346090938833,8.99693873494331,7.63610852336974,7.14458706876256,10.2479355556121,9.07738095238091,6.52609569372579,5.55412988949405,5.09729149331441,3.04194667094528,3.43351563418767,3.83657262052543,2.90799857032207,3.02504526252236,3.51799903099596,4.10725070715938,4.26717463390263,4.81023704342912,8.94995335353387,2.86044855902672,3.32634463368643,4.82239636013325,3.72532666110646,2.65167342916577,2.35449052820358,1.44385719270808,1.60553917414213,2.25427651934813,2.45036243850175,2.20607305781525,1.93694126694223,3.46692585313154,7.96757361617885,..
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,South Asia,SAS,9.10316146742322,6.74239195913019,7.27136517189952,13.3113668435427,9.84677216779704,8.97123250273277,12.2751729438893,11.7878170418134,9.97366476029209,8.34928672883386,9.48754836789367,8.9771523382646,7.16425211462713,9.36424300683229,4.69170563048438,4.0094359104519,3.14826144590618,3.33256493271909,3.80585899528851,4.10593698272959,6.94147541057457,6.77492886028207,7.19672897490471,10.9746442017878,4.9768244765374,7.58152977621469,10.2502450334266,9.46940335888463,7.61128126406369,6.82864780544362,4.15825589072155,4.17139021053482,4.52022867508868,3.33139516437662,3.62894965885484,5.69107474746206,5.54565430773478,7.6507917679853,..
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,South Asia (IDA & IBRD),TSA,9.10316146742322,6.74239195913019,7.27136517189952,13.3113668435427,9.84677216779704,8.97123250273277,12.2751729438893,11.7878170418134,9.97366476029209,8.34928672883386,9.48754836789367,8.9771523382646,7.16425211462713,9.36424300683229,4.69170563048438,4.0094359104519,3.14826144590618,3.33256493271909,3.80585899528851,4.10593698272959,6.94147541057457,6.77492886028207,7.19672897490471,10.9746442017878,4.9768244765374,7.58152977621469,10.2502450334266,9.46940335888463,7.61128126406369,6.82864780544362,4.15825589072155,4.17139021053482,4.52022867508868,3.33139516437662,3.62894965885484,5.69107474746206,5.54565430773478,7.6507917679853,..
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Afghanistan,AFG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,12.6862687216715,6.78459655001657,8.68057078513405,26.4186641547445,-6.81116108898993,2.17853752389414,11.8041858089129,6.44121280934117,7.38577178397855,4.67399603536305,-0.66170916471352,4.38389195513893,4.97595150553892,0.626149149168983,2.30237251516819,..,..,..,..
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Albania,ALB,..,..,..,..,..,..,..,226.005421253526,85.0047512387156,22.5650526933696,7.79321853789217,12.7254778087103,33.1802743753956,20.6428588670596,0.389437653561617,0.0500181363468309,3.10758827031434,7.77052583431552,0.48400261181847,2.28001916938101,2.36658195679796,2.37072831904282,2.93268248162323,3.32087090389264,2.26692209450831,3.62604695579816,3.42912324722163,2.03159268395301,1.93762080205229,1.6258650440261,1.89617402592365,1.2754316836741,1.98666133171199,2.02805963071136,1.41109078954246,1.62088661717011,2.04147163139549,6.72520271530049,..
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Algeria,DZA,11.989283322105,17.5239234455033,11.3486005086091,9.51782449754963,6.54250963007673,16.6525343885432,25.8863869348513,31.6696619117149,20.5403261235827,29.0476561173071,29.7796264864999,18.6790758601749,5.73352275357187,4.95016163793114,2.64551113392799,0.339163189071768,4.22598834854673,1.41830192345051,4.268953958395,3.96180030257187,1.38244656662118,2.31149918514424,3.67899574741699,4.85859062814939,5.73706036145628,3.91106195534028,4.5242115050527,8.89145091062317,3.25423910998847,2.91692692067458,4.78444700693889,6.39769480268757,5.59111590961664,4.26999020467084,1.95176821052892,2.41513094083414,7.22606307415477,9.26551551551553,..
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Andorra,AND,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
